Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
89	A- Kx 3x 2-	23.6243	8.6975	1.9275	24.2705	19.8621	0.0088	0.52
90	Ax Ay 5x 4y	23.6225	19.9956	1.2208	15.6367	8.627	0.0044	0.5245
91	A- Kx 3- 2x	23.609	8.7019	1.8971	24.2633	19.7889	0.0088	0.5333
92	A- A- 4x 2x	23.6069	11.1539	0.5442	25.3355	13.3827	0.0044	0.5378
93	Ax Kx 3- 2x	23.5768	8.5413	1.8984	24.3013	19.7724	0.0044	0.5422
94	Ax Qx 3- 2x	23.5013	8.4558	1.8584	24.2719	19.8235	0.0044	0.5466
95	Ax Ay 8x 2y	23.4885	18.9279	0.166	16.7249	9.0183	0.0044	0.5511
96	Ax Ay Qx 3y	23.4818	20.0385	0.8924	14.9587	8.1078	0.0044	0.5555
97	Ax Qx 3x 2-	23.4678	8.4146	1.8007	24.4325	19.6185	0.0044	0.5599
98	Ax Ay Tx 3y	23.4645	20.0766	0.8713	14.9527	8.1165	0.0044	0.5644
99	Ax Ay Kx 3y	23.4519	20.0475	0.9039	14.8372	8.069	0.0044	0.5688
100	Ax J- 3x 2x	23.4376	8.2026	1.8285	24.2829	19.7515	0.0044	0.5732
101	Ax Ay Jx 3y	23.4233	20.061	0.8545	14.9063	8.1418	0.0044	0.5777
102	A- 4x 3x 2x	23.4158	5.2314	1.5255	28.6584	22.5966	0.0044	0.5821
103	Ax 3x 2x 2-	23.4002	8.3691	0.4265	28.0523	15.0369	0.0044	0.5865
104	Ax A- 4x 3x	23.3966	13.8758	0.7839	21.8254	11.7795	0.0044	0.591
105	A- 4- 3x 2x	23.3522	5.1557	1.508	28.7464	22.5523	0.0088	0.5998
106	Ax T- 3x 2x	23.3465	7.9949	1.7632	24.3785	19.8551	0.0044	0.6042
107	A- 4x 3x 2-	23.3313	5.1635	1.5029	28.6725	22.6246	0.0088	0.6131
108	Ax Jx 3- 2x	23.3121	8.2173	1.7898	24.3367	19.7346	0.0044	0.6175
109	Ax Jx 3x 2-	23.3036	8.274	1.8291	24.2264	19.7651	0.0044	0.622
110	Ax 6x 3y 2y	23.2987	9.5335	1.2744	24.2754	19.4032	0.0044	0.6264
111	A- 4x 3- 2x	23.2907	5.1073	1.5261	28.6185	22.6808	0.0088	0.6353
112	Ax Jy 4x 2y	23.2875	11.5181	1.9732	20.9942	17.1441	0.0044	0.6397
113	Ax 6y 3y 2x	23.2792	9.5121	1.3003	24.1239	19.5559	0.0044	0.6441
114	Ax 6y 3x 2y	23.2644	9.443	1.3119	24.2156	19.5409	0.0044	0.6486
115	Ax 9x 3y 2y	23.2639	9.3356	0.9177	24.2223	19.7123	0.0044	0.653
116	Ax Jy 4y 2x	23.24	11.5329	1.9145	20.9416	17.1625	0.0044	0.6575
117	Ax Tx 3x 2-	23.2282	8.1361	1.7151	24.3665	19.7017	0.0044	0.6619
118	Ax Tx 3- 2x	23.2175	8.1808	1.7252	24.2883	19.7024	0.0044	0.6663
119	Ax 5x 3x 2x	23.2052	6.9878	1.6967	26.4526	20.9928	0.0014	0.6678
120	A- A- 4- 2-	23.1733	10.6038	0.5407	25.2448	13.4059	0.0044	0.6722
121	A- Kx 3x 2x	23.1163	7.8983	1.8781	24.3244	19.6988	0.0044	0.6767
122	Ax 5y 4x 2y	23.0827	10.356	2.0226	23.0594	18.4782	0.0044	0.6811
123	Ax 5y 4y 2x	23.0758	10.3104	2.0362	23.1	18.4473	0.0044	0.6855
124	Ax 5x 4y 2y	23.0247	10.2438	2.0297	23.1653	18.3403	0.0044	0.6899
125	Ax 9- 3x 2-	23.009	8.5567	0.9353	24.3192	19.799	0.0088	0.6988
126	Ax Kx 3x 2x	23.0042	7.6172	1.8972	24.2604	19.7214	0.0014	0.7003
127	Ax 3x 3- 2x	22.9836	8.3395	0.4816	26.5962	16.4993	0.0044	0.7047
128	Ax 4y 2x 2y	22.9477	10.4075	0.5779	25.3015	13.4247	0.0044	0.7091
129	Ax 9- 3- 2x	22.9281	8.5049	0.9232	24.2517	19.7541	0.0088	0.718
130	A- Qx 3x 2-	22.9135	7.6808	1.8131	24.2732	19.7717	0.0088	0.7269
131	A- Qx 3- 2x	22.9012	7.6073	1.8293	24.2701	19.8423	0.0088	0.7357
132	Ax Ty 4x 2y	22.8905	10.9966	1.9169	20.934	17.1001	0.0044	0.7402
133	A- 4- 3- 2-	22.8828	4.4547	1.5715	28.6731	22.6175	0.0088	0.749
134	Ax Ty 4y 2x	22.8762	10.9679	1.9046	20.9264	17.1291	0.0044	0.7534
135	Ax Ay 4x 4y	22.8457	21.6668	0.1913	13.7264	4.8435	0.0022	0.7557
136	Ax Qx 3x 2x	22.8423	7.5161	1.7543	24.1919	19.7362	0.0014	0.7571
137	Ax 9x 3- 2-	22.8343	8.5538	0.9388	24.3037	19.7643	0.0088	0.766
138	Ax 6x 3- 2-	22.8317	8.8053	1.3081	24.2255	19.5422	0.0088	0.7749
139	Ax 6- 3- 2x	22.8052	8.7624	1.325	24.2479	19.4228	0.0088	0.7837
140	Ax 6- 3x 2-	22.7859	8.7309	1.2965	24.2265	19.5154	0.0088	0.7926
141	Ax Kx 4y 2y	22.7245	10.6788	2.08	21.1289	17.1652	0.0044	0.797
142	Ax Jx 3x 2x	22.7231	7.2445	1.7724	24.2571	19.8465	0.0014	0.7985
143	Ax A- 5x 3-	22.704	15.4229	0.9731	19.2191	10.2509	0.0088	0.8074
